candidate_id,markers,ai_titled
CAND_0001610,D_summary_yoe_gap,True
CAND_0001778,E_cert_future,False
CAND_0003430,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0003582,A_expert_zero_months,False
CAND_0005291,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0006079,E_cert_future,False
CAND_0007353,B_date_mismatch,False
CAND_0007413,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0008960,B_date_mismatch,False
CAND_0010294,B_date_mismatch,False
CAND_0010770,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0013536,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0016000,A_expert_zero_months,False
CAND_0018515,B_date_mismatch,False
CAND_0019480,D_summary_yoe_gap,True
CAND_0022870,E_cert_future,True
CAND_0024752,"B_date_mismatch,C_yoe_vs_span",False
CAND_0025030,E_cert_future,False
CAND_0025579,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0029991,E_cert_future,False
CAND_0031518,E_cert_future,False
CAND_0032361,E_cert_future,False
CAND_0033131,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0033817,A_expert_zero_months,False
CAND_0033972,A_expert_zero_months,False
CAND_0034850,E_cert_future,False
CAND_0035104,B_date_mismatch,False
CAND_0035237,E_cert_future,False
CAND_0036299,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0036839,A_expert_zero_months,False
CAND_0037000,D_summary_yoe_gap,True
CAND_0037539,B_date_mismatch,False
CAND_0038431,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0039521,D_summary_yoe_gap,True
CAND_0039754,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0040075,B_date_mismatch,False
CAND_0040853,B_date_mismatch,False
CAND_0041029,E_cert_future,False
CAND_0042245,A_expert_zero_months,False
CAND_0042453,B_date_mismatch,False
CAND_0043721,B_date_mismatch,False
CAND_0045046,E_cert_future,False
CAND_0046521,E_cert_future,False
CAND_0046649,A_expert_zero_months,False
CAND_0046689,A_expert_zero_months,False
CAND_0048740,A_expert_zero_months,False
CAND_0052478,"C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0053734,B_date_mismatch,False
CAND_0053771,E_cert_future,False
CAND_0054215,E_cert_future,False
CAND_0055685,B_date_mismatch,False
CAND_0055792,A_expert_zero_months,False
CAND_0055992,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0056950,E_cert_future,False
CAND_0056983,A_expert_zero_months,False
CAND_0057711,B_date_mismatch,False
CAND_0060642,A_expert_zero_months,False
CAND_0061722,A_expert_zero_months,False
CAND_0063888,A_expert_zero_months,False
CAND_0064077,B_date_mismatch,False
CAND_0065096,A_expert_zero_months,False
CAND_0065275,E_cert_future,False
CAND_0065710,B_date_mismatch,False
CAND_0065787,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0065792,E_cert_future,False
CAND_0066405,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0070189,B_date_mismatch,False
CAND_0070429,A_expert_zero_months,False
CAND_0071115,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0072379,A_expert_zero_months,False
CAND_0073546,E_cert_future,False
CAND_0073853,A_expert_zero_months,False
CAND_0074119,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0075649,E_cert_future,False
CAND_0077239,B_date_mismatch,False
CAND_0077250,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0077684,E_cert_future,False
CAND_0079089,E_cert_future,False
CAND_0084182,B_date_mismatch,False
CAND_0086808,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0090515,E_cert_future,False
CAND_0090900,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0091068,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
CAND_0091337,E_cert_future,False
CAND_0091534,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0093331,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0093364,B_date_mismatch,False
CAND_0093547,D_summary_yoe_gap,True
CAND_0095140,A_expert_zero_months,False
CAND_0095317,A_expert_zero_months,False
CAND_0095480,A_expert_zero_months,False
CAND_0095619,"C_yoe_vs_span,D_summary_yoe_gap",True
CAND_0096150,"B_date_mismatch,C_yoe_vs_span,D_summary_yoe_gap",False
